v0,v1,v2,v3,v4,y
0.46152383,0.45105654,0.034904927,0.2539411,0.8534372,0.5375357009964491
0.22412452,0.66224205,0.17058952,0.7595745,0.09461337,0.11800624020892347
0.408955,0.65994984,0.06546899,0.14538763,0.9363132,0.1030281312021234
0.53919524,0.5666298,0.42958477,0.045312796,0.86801994,0.5460063113571779
0.50470746,0.3989989,0.3065612,0.7031726,0.5380721,0.3342661185531507
0.14052406,0.67662996,0.78048605,0.57573575,0.76200444,0.4027472643138881
0.9617526,0.33957994,0.40783516,0.10134794,0.82382125,0.27233488497572067
0.77713937,0.7191954,0.9035339,0.8230244,0.055806983,0.43449369864809073
0.037003286,0.47969255,0.24522655,0.7820414,0.079595566,0.19829602648790712
0.63399565,0.60451436,0.5887432,0.4472262,0.63649344,0.09133997250645154
0.021024534,0.106321216,0.65690124,0.32582802,0.2358269,0.48417287310734025
0.7031641,0.68618476,0.2540443,0.40420538,0.1706667,0.7192689348688435
0.9504698,0.011807697,0.84038407,0.01985108,0.84182596,0.43822988086394477
0.66929126,0.0051161326,0.16776837,0.12861113,0.6745426,0.10882928838284611
0.013379804,0.8032367,0.45205027,0.40948334,0.7722618,0.6443068926197103
0.346385,0.51100355,0.13294789,0.6272087,0.26610935,0.2790420997961848
0.18282437,0.5180698,0.5979602,0.96195996,0.9066967,0.3130577837853491
0.04107721,0.9786039,0.71586186,0.38124454,0.104320444,0.5111462008054252
0.56604993,0.5962702,0.90889364,0.9967299,0.83998007,0.6702318974033284
0.49633408,0.31786987,0.08477285,0.19362237,0.7160955,0.13599670825903232
0.9153131,0.37115958,0.109633945,0.13329026,0.19170362,0.04773609577278759
0.4787851,0.061249267,0.1878194,0.88389266,0.31985655,0.9565560084032511
0.94302136,0.14847346,0.6483307,0.16969451,0.28308535,0.0974223030071808
0.68641067,0.3690177,0.8403453,0.02832713,0.08843484,0.7040940045703951
0.11621683,0.083583094,0.9890122,0.4337139,0.010266026,0.25875125770787333
0.7709894,0.68125594,0.7227198,0.7811622,0.40441164,0.11009635364967107
0.02802667,0.36112073,0.9864324,0.2676165,0.4358854,0.8149490612866587
0.7139895,0.28097498,0.9524896,0.6683372,0.5869206,0.45136925587267296
0.11562893,0.8520206,0.34485322,0.7202639,0.47597712,0.5216312165422621
0.92589355,0.4689652,0.25120568,0.6264868,0.0063159475,0.1517031677975511
0.052073862,0.06964138,0.3551878,0.3801997,0.5993631,0.385639312908309
0.59118545,0.7587719,0.21825409,0.9891228,0.8647166,0.8338619332934959
0.17645991,0.69951344,0.88732946,0.7762559,0.41945964,0.7313788983022438
0.53945136,0.07353789,0.5257182,0.75387365,0.0026913802,0.27230362792437723
0.41661218,0.19371402,0.6481259,0.642895,0.11776151,0.3192122813914271
0.15671891,0.6113803,0.27365872,0.8479838,0.00412326,0.514546534228808
0.6151567,0.9099774,0.29033044,0.32715216,0.5631175,0.6289911746077963
0.82892776,0.7203609,0.4390888,0.82869273,0.5052746,0.5885064772699198
0.9415407,0.6619586,0.32467327,0.635818,0.08767571,0.044220328053846014
0.61786026,0.11255922,0.9780331,0.117001496,0.7053477,0.20284801334382263
